Zone 1 Power Consumption,Zone 2  Power Consumption,Zone 3  Power Consumption,Temperature,Humidity,Wind Speed
32985.1,19396.7,17623.3,22.76,29.73,0.085
34737.6,29803,14417.3,15.92,54.44,0.085
27894.7,20808.5,16458.8,15.08,57.23,0.076
42476.9,23634.1,25089.7,12.42,72.3,0.081
21341.1,12006.1,11531.6,14.58,80.6,0.08
22043.5,13200,14810.6,14.99,69.14,0.074
32509.8,18302.7,15844.3,11.16,70.8,0.08
21390.7,13222.3,10593,19.21,89.4,4.923
37286.7,30716.2,15834.8,14.66,65.92,0.075
24966.3,15169,14913,14.2,81.6,0.079
35012.4,24290.6,12067.2,23.9,64.15,0.264
22031.4,13367.8,14359.5,13.68,82.4,0.074
40993.9,25383.4,24960,21.03,86.5,0.068
31081.4,25539.1,10130.1,16.38,69.26,0.074
37475.2,24276.2,25140.6,27.06,47.58,4.905
34004.7,18893.6,16938.5,11.86,60.8,0.088
31434.9,18815.9,19358.7,11.83,80.6,0.08
20806.1,16193.9,8608.88,9.38,84.9,0.082
25724.7,16599.4,12434.7,9.39,67.74,4.92
40676,24754.7,25095.9,19.2,65.81,4.924
29593.8,24605,10039.5,19.74,47.91,0.078
40256.1,27416.3,25453.5,27.11,43.35,4.906
43334.8,25452.4,25368.4,16.66,67.21,4.919
22710.5,13437.1,14090.3,12.11,76.6,4.916
28532.1,19507.6,17442.7,23.96,63.4,4.922
36511.9,25906.3,25654.9,26.92,70.2,4.909
23753.8,18628.5,10704.6,16.98,56.04,0.086
29393.2,24421.5,20226.3,25.37,77.8,4.918
40137.7,23463.8,24659.3,16.32,53.54,4.921
27061.1,16540.2,12669.6,24.6,91.3,4.918
36605.3,29736.7,16595.4,15.9,62.58,0.084
28723.3,20269.5,20752.9,27.12,32.78,4.905
32156.3,21945.9,22540.4,21.33,75.2,4.911
26361.1,15427,12214.5,17.22,62.59,4.921
29421.5,23920.7,9351.33,20.53,47.5,0.079
21937.6,18815.6,7398.8,10.95,47.63,0.078
32795.2,17517.1,16751.6,12.73,74.1,0.081
39572.4,22972,23945.8,11.88,85.7,0.072
33359,17989,22000.6,18.43,71,0.081
29146.2,21287.9,14936.4,18.94,81.5,0.071
37782,24569,22877.5,26.64,53.55,4.907
23321.9,13591.5,15044.5,8.7,87.2,0.089
31248.8,22662.5,17431.6,28.72,26.19,0.075
22989.6,17626.6,10282.8,13.87,86.5,4.915
38666.4,23409.1,23317.9,9.89,73.2,0.077
23550.4,14341.6,15452.5,5.593,73.4,0.087
41058.3,24583.6,25390.3,14.1,63.55,0.083
44655.8,28508.7,19392.6,18.47,91.1,0.079
34256.2,22030.4,16736.4,13.66,65.01,0.087
22097.6,12926.3,11112.7,15.81,83.7,0.083
38153.8,31805,20483.9,19.6,67.65,0.073
30387.8,21728.1,9334.93,12.4,67.54,0.087
48349.5,32449.4,35757.7,22.79,62.78,0.07
33903,23962,23901.6,28.01,31.89,4.915
36369.2,25496.5,22721,26.6,73.1,4.91
23827.7,19156.6,10502.2,8.34,77.9,4.916
25978.9,16097.4,12904.7,14.41,85.7,0.072
35151.7,23238.4,18002.9,27.98,35.7,4.918
22905.8,11799.4,13679.3,13.84,71.4,0.083
42875.8,25286.1,27323.1,20.32,64.15,0.081
27729.6,16694,14032.3,22.17,89.6,0.329
23467.1,13203.6,14455,10.4,90.6,0.071
32486.2,23950.4,17459.3,22.27,51,0.077
35402,18700.3,14848.6,16.71,56.34,0.084
27697.7,16881.1,12208.4,21.28,84.5,0.283
21648.8,12813.4,14373.9,7.29,61.94,0.088
21024.9,12167.4,11287.3,14.32,85.7,0.069
37893.7,30902.5,18704,20.75,70.9,0.082
33498.3,18725.8,18345.2,12.96,85.8,0.07
38971.1,29822.6,29413.9,28.8,75.8,4.907
36103.7,22570.2,16811.1,13.98,69.28,0.072
38670.6,27484.7,31189.5,26.18,84.5,4.914
31538.4,21302.8,16481.3,26.1,31.29,0.079
32898.5,28178.9,9172.05,18.66,62.86,0.076
32030.8,24887.6,12566.7,21.64,51.43,0.084
34231.9,21552.6,20830.8,11.18,65.55,0.087
42615,29503.3,33554.9,28.09,78.2,4.902
35013.4,21106.1,22465.2,13.77,81.1,0.082
34451.7,19167.6,14685.4,23.88,65.26,4.926
35650.8,26643,26859.9,26.56,69.8,4.911
42824.9,21684.3,28509.1,14.42,89.9,0.069
41512.8,29954.4,32553.6,35.98,29.84,4.907
36044.6,24444.1,10825.7,21.62,77.7,4.915
19746.8,13524.6,13827.5,6.003,86.3,0.085
33648.7,28525.3,14613.2,9.86,69.39,0.085
29788.3,20403.7,17530.7,32.99,14.01,3.97
32802,23911.3,26127.6,27.96,33.64,4.907
31397.9,17739.7,21009.5,15.39,89.5,0.071
35958.7,20600.8,18089.4,25.51,51.27,0.072
21466.3,13539.2,14319,4.408,76.7,0.082
