Date,Day_Name,Month_Name,Season,Day_of_Year,Start_Hour,End_Hour,Production
2022-12-18 00:00:00,Sunday,December,Winter,352,21,22,11400
2024-01-29 00:00:00,Monday,January,Winter,29,14,15,7917
2024-08-01 00:00:00,Thursday,August,Summer,214,15,16,8835
2020-11-10 00:00:00,Tuesday,November,Fall,315,1,2,989
2022-12-19 00:00:00,Monday,December,Winter,353,1,2,12526
2024-10-18 00:00:00,Friday,October,Fall,292,13,14,4855
2020-04-10 00:00:00,Friday,April,Spring,101,17,18,3692
2023-01-25 00:00:00,Wednesday,January,Winter,25,0,1,2156
2021-12-12 00:00:00,Sunday,December,Winter,346,12,13,5813
2020-10-11 00:00:00,Sunday,October,Fall,285,13,14,6106
2024-01-08 00:00:00,Monday,January,Winter,8,23,0,5515
2020-01-08 00:00:00,Wednesday,January,Winter,8,18,19,2785
2022-01-29 00:00:00,Saturday,January,Winter,29,20,21,8498
2021-06-02 00:00:00,Wednesday,June,Summer,153,15,16,5561
2024-06-11 00:00:00,Tuesday,June,Summer,163,7,8,2328
2020-06-05 00:00:00,Friday,June,Summer,157,21,22,6664
2021-05-02 00:00:00,Sunday,May,Spring,122,13,14,4993
2022-01-13 00:00:00,Thursday,January,Winter,13,0,1,3276
2020-07-24 00:00:00,Friday,July,Summer,206,3,4,1739
2024-08-29 00:00:00,Thursday,August,Summer,242,5,6,2083
2024-01-03 00:00:00,Wednesday,January,Winter,3,0,1,17272
2024-04-02 00:00:00,Tuesday,April,Spring,93,2,3,12285
2020-07-29 00:00:00,Wednesday,July,Summer,211,16,17,3480
2024-11-05 00:00:00,Tuesday,November,Fall,310,6,7,1690
2022-10-24 00:00:00,Monday,October,Fall,297,8,9,11508
2023-02-27 00:00:00,Monday,February,Winter,58,10,11,15692
2020-04-02 00:00:00,Thursday,April,Spring,93,15,16,4169
2020-05-13 00:00:00,Wednesday,May,Spring,134,3,4,3174
2023-11-22 00:00:00,Wednesday,November,Fall,326,14,15,7314
2021-09-11 00:00:00,Saturday,September,Fall,254,11,12,4969
2025-04-07 00:00:00,Monday,April,Spring,97,15,16,9862
2025-07-27 00:00:00,Sunday,July,Summer,208,22,23,3862
2021-03-11 00:00:00,Thursday,March,Spring,70,13,14,16144
2022-04-30 00:00:00,Saturday,April,Spring,120,16,17,8188
2023-01-19 00:00:00,Thursday,January,Winter,19,23,0,1710
2022-09-11 00:00:00,Sunday,September,Fall,254,4,5,472
2021-09-25 00:00:00,Saturday,September,Fall,268,16,17,3402
2020-08-08 00:00:00,Saturday,August,Summer,221,12,13,3996
2021-06-08 00:00:00,Tuesday,June,Summer,159,1,2,1148
2024-06-10 00:00:00,Monday,June,Summer,162,21,22,4062
2020-06-18 00:00:00,Thursday,June,Summer,170,0,1,1443
2023-05-30 00:00:00,Tuesday,May,Spring,150,17,18,13363
2022-02-17 00:00:00,Thursday,February,Winter,48,1,2,15609
2022-05-11 00:00:00,Wednesday,May,Spring,131,19,20,8878
2024-05-07 00:00:00,Tuesday,May,Spring,128,7,8,2974
2025-11-22 00:00:00,Saturday,November,Fall,326,12,13,12324
2021-04-09 00:00:00,Friday,April,Spring,99,21,22,5279
2021-12-24 00:00:00,Friday,December,Winter,358,11,12,3872
2023-03-11 00:00:00,Saturday,March,Spring,70,12,13,6406
2021-08-13 00:00:00,Friday,August,Summer,225,13,14,5323
2021-02-01 00:00:00,Monday,February,Winter,32,15,16,7166
2023-09-11 00:00:00,Monday,September,Fall,254,13,14,7117
2020-07-01 00:00:00,Wednesday,July,Summer,183,13,14,5874
