DATE_TIME,SOURCE_KEY,DC_POWER,AC_POWER,DAILY_YIELD,TOTAL_YIELD
2020-05-28 10:00:00,vOuJvMaM2sgwLmb,1090.24,1063.56,2079.21,2.30796e+06
2020-06-16 11:15:00,81aHJ1q11NBPMrL,740.613,724.827,2209.6,1.21548e+09
2020-05-17 18:45:00,Qf4GUc1pJu5T6c6,0,0,7220,8.38443e+08
2020-05-21 23:00:00,q49J1IKaHRwDQnt,0,0,4844,374171
2020-06-05 23:15:00,vOuJvMaM2sgwLmb,0,0,3421,2.35653e+06
2020-05-17 18:45:00,Et9kgGMDl729KT4,0,0,4603,1.71949e+06
2020-05-24 20:30:00,PeE6FRyGXUgsRhN,0,0,8962,1.34841e+09
2020-06-06 12:45:00,rrq4fwE8jgrTyWY,0,0,1063,1.21084e+08
2020-06-03 08:15:00,LYwnQax7tkwH5Cb,432.733,424.913,414.6,1.79506e+09
2020-05-23 10:00:00,Quc1TzYxW2pYoWX,0,0,1322,3.29541e+08
2020-06-10 13:15:00,Qf4GUc1pJu5T6c6,704.84,689.467,4172.13,8.38619e+08
2020-06-12 21:30:00,oZZkBaNadn6DNKz,0,0,4728,1.70827e+09
2020-06-09 02:30:00,xMbIugepa2P7lBB,0,0,9052,1.06848e+08
2020-05-20 20:45:00,LlT2YUhhzqhg5Sw,0,0,3883,2.82631e+08
2020-05-22 15:30:00,Qf4GUc1pJu5T6c6,855.34,836.973,8740.67,8.3848e+08
2020-05-31 10:00:00,xoJJ8DcxJEcupym,606.627,594.36,1337.13,2.09235e+08
2020-05-24 19:45:00,Quc1TzYxW2pYoWX,0,0,4816,3.29548e+08
2020-06-08 07:45:00,xoJJ8DcxJEcupym,460.333,451.407,333.4,2.09277e+08
2020-05-15 20:15:00,IQ2d7wF4YD8zU1Q,0,0,9663,1.99512e+07
2020-06-15 15:00:00,81aHJ1q11NBPMrL,468.007,459.273,5344,1.21548e+09
2020-06-16 08:45:00,rrq4fwE8jgrTyWY,487.021,477.529,626.643,1.21123e+08
2020-05-25 20:00:00,V94E5Ben1TlhnDV,0,0,9011,1.41217e+09
2020-06-06 15:45:00,NgDl19wMapZy17u,725.721,710.371,7114.21,1.11682e+08
2020-06-05 04:15:00,PeE6FRyGXUgsRhN,0,0,6168,1.34848e+09
2020-05-27 00:15:00,vOuJvMaM2sgwLmb,0,0,0,2.29655e+06
2020-06-15 06:15:00,xMbIugepa2P7lBB,32.54,31.44,5.86667,1.0688e+08
2020-06-13 15:15:00,oZZkBaNadn6DNKz,780.207,763.413,5233.67,1.70827e+09
2020-05-24 07:45:00,4UPUqMRk7TRMgml,444.42,436.24,329.733,2.4933e+06
2020-05-25 13:15:00,V94E5Ben1TlhnDV,1214.84,1184.46,5807.29,1.41216e+09
2020-06-14 04:30:00,PeE6FRyGXUgsRhN,0,0,6515,1.34853e+09
2020-06-05 15:15:00,q49J1IKaHRwDQnt,578.064,566.5,1852.57,463824
2020-06-01 11:00:00,vOuJvMaM2sgwLmb,475.367,466.073,2549.47,2.33576e+06
2020-06-17 15:00:00,IQ2d7wF4YD8zU1Q,571.886,560.45,3458.71,2.01843e+07
2020-06-15 14:15:00,mqwcsP2rE7J0TFp,404.933,396.48,4978.2,5.93804e+08
2020-06-11 19:30:00,LlT2YUhhzqhg5Sw,0,0,3814,2.82758e+08
2020-06-02 13:00:00,9kRcWv60rDACzjR,811.333,793.627,3794.8,2.24785e+09
2020-05-25 12:15:00,WcxssY2VbP4hApt,1293.09,1260.78,4649.4,1.8178e+08
2020-05-17 00:45:00,mqwcsP2rE7J0TFp,0,0,0,5.93597e+08
2020-05-20 02:30:00,q49J1IKaHRwDQnt,0,0,2825,365265
2020-06-03 02:15:00,IQ2d7wF4YD8zU1Q,0,0,0,2.00896e+07
2020-05-29 12:30:00,Qf4GUc1pJu5T6c6,995.821,973.7,4488.86,8.38532e+08
2020-06-06 18:30:00,V94E5Ben1TlhnDV,27.14,26.2133,2609.27,1.41224e+09
2020-05-23 00:00:00,Et9kgGMDl729KT4,0,0,238.8,1.73912e+06
2020-06-02 05:30:00,Mx2yZCDsyf6DPfv,0,0,0,2.58992e+06
2020-06-05 22:30:00,LYwnQax7tkwH5Cb,0,0,2878,1.79507e+09
2020-05-15 11:30:00,xoJJ8DcxJEcupym,0,0,1735,2.09145e+08
2020-06-09 18:45:00,rrq4fwE8jgrTyWY,0.614286,0.592857,3378,1.21095e+08
2020-06-11 13:00:00,WcxssY2VbP4hApt,505.829,495.893,2297.64,1.81875e+08
2020-05-18 10:45:00,Mx2yZCDsyf6DPfv,650.293,636.98,1869.2,2.4756e+06
2020-06-16 14:15:00,V94E5Ben1TlhnDV,217.733,213.28,2051.47,6.59067e+08
2020-05-25 05:00:00,vOuJvMaM2sgwLmb,0,0,0,2.27821e+06
2020-06-15 15:45:00,V94E5Ben1TlhnDV,193.336,189.307,1980.14,1.41228e+09
2020-06-12 23:00:00,Qf4GUc1pJu5T6c6,0,0,4455,8.38629e+08
2020-06-05 04:15:00,NgDl19wMapZy17u,0,0,6331,1.11668e+08
2020-05-30 03:45:00,mqwcsP2rE7J0TFp,0,0,0,5.93698e+08
2020-05-27 03:30:00,q49J1IKaHRwDQnt,0,0,4080,405907
2020-06-14 06:45:00,Mx2yZCDsyf6DPfv,166.953,163.22,55,2.66749e+06
2020-05-30 04:45:00,xoJJ8DcxJEcupym,0,0,0,2.09228e+08
2020-06-16 09:00:00,LYwnQax7tkwH5Cb,516.667,506.48,757.933,1.79511e+09
2020-05-18 14:45:00,IQ2d7wF4YD8zU1Q,996.42,974.307,6351.07,1.99727e+07
2020-05-31 09:30:00,oZZkBaNadn6DNKz,980.9,959.187,1026.27,1.70819e+09
2020-06-17 14:00:00,4UPUqMRk7TRMgml,301.586,295.336,1557.21,1.8944e+06
2020-05-26 22:00:00,Mx2yZCDsyf6DPfv,0,0,9175,2.54933e+06
2020-06-16 07:45:00,Quc1TzYxW2pYoWX,246.547,241.773,203.933,3.29638e+08
2020-06-03 20:30:00,9kRcWv60rDACzjR,0,0,4339,2.24785e+09
2020-06-06 04:45:00,vOuJvMaM2sgwLmb,0,0,3421,2.35653e+06
2020-06-06 14:30:00,Quc1TzYxW2pYoWX,0,0,0,2.19738e+07
2020-06-14 16:15:00,Mx2yZCDsyf6DPfv,309.553,304,2820.73,2.67026e+06
2020-05-29 09:30:00,xoJJ8DcxJEcupym,1044.49,1021.04,1396.93,2.09224e+08
2020-05-15 22:00:00,PeE6FRyGXUgsRhN,0,0,9119,1.34836e+09
2020-05-18 00:30:00,NgDl19wMapZy17u,0,0,0,1.11537e+08
2020-05-16 10:30:00,V94E5Ben1TlhnDV,1155.32,1127.18,2593.07,1.4121e+09
2020-05-18 01:15:00,PeE6FRyGXUgsRhN,0,0,0,1.34837e+09
2020-06-05 03:15:00,LlT2YUhhzqhg5Sw,0,0,2927,2.82727e+08
2020-06-06 18:30:00,vOuJvMaM2sgwLmb,26.5,25.58,8246.47,2.36478e+06
2020-05-18 21:00:00,oZZkBaNadn6DNKz,0,0,6786,1.70811e+09
2020-06-12 23:00:00,oZZkBaNadn6DNKz,0,0,4728,1.70827e+09
2020-06-01 01:15:00,vOuJvMaM2sgwLmb,0,0,0,2.33321e+06
2020-06-12 00:00:00,9kRcWv60rDACzjR,0,0,1103.43,2.24789e+09
2020-06-01 13:15:00,mqwcsP2rE7J0TFp,84.6133,82.4533,3884.6,5.93717e+08
2020-05-31 14:30:00,81aHJ1q11NBPMrL,469.329,459.893,5560,1.21539e+09
2020-06-11 01:30:00,q49J1IKaHRwDQnt,0,0,5303,482941
2020-06-06 00:15:00,Mx2yZCDsyf6DPfv,0,0,7726,2.6168e+06
2020-05-16 02:30:00,xoJJ8DcxJEcupym,0,0,0,2.09147e+08
2020-06-07 09:15:00,IQ2d7wF4YD8zU1Q,644.4,630.227,834.667,1.60958e+07
2020-06-02 15:30:00,oZZkBaNadn6DNKz,907.127,887.133,5418.2,1.70821e+09
2020-05-23 07:00:00,Mx2yZCDsyf6DPfv,217.607,213.347,100,2.51648e+06
2020-06-11 18:30:00,xoJJ8DcxJEcupym,8.10667,7.82,3940.2,2.09301e+08
2020-06-06 20:30:00,9kRcWv60rDACzjR,0,0,8190,2.24787e+09
2020-06-02 12:00:00,Quc1TzYxW2pYoWX,575.993,564.367,2585.53,3.2959e+08
2020-06-16 13:45:00,rrq4fwE8jgrTyWY,599.147,587.147,3880.33,1.21126e+08
2020-05-24 09:45:00,9kRcWv60rDACzjR,1003.14,980.833,1750.47,2.24778e+09
2020-06-04 05:15:00,xMbIugepa2P7lBB,0,0,5879,1.06808e+08
2020-05-28 11:15:00,q49J1IKaHRwDQnt,1210.84,1180.57,3449,418372
2020-06-16 15:30:00,9kRcWv60rDACzjR,606.621,594.357,4866.21,2.24791e+09
2020-05-15 05:30:00,4UPUqMRk7TRMgml,0,0,0,2.42901e+06
2020-05-16 09:45:00,LlT2YUhhzqhg5Sw,1008.46,986.029,1774.21,2.82604e+08
2020-05-31 06:00:00,LYwnQax7tkwH5Cb,19.4933,18.82,1.93333,1.79504e+09
2020-06-10 14:30:00,Et9kgGMDl729KT4,461.493,452.687,1760.8,1.82763e+06
2020-06-03 07:15:00,mqwcsP2rE7J0TFp,179.7,176.033,108.933,5.93724e+08
2020-06-14 23:30:00,vOuJvMaM2sgwLmb,0,0,7463,2.41156e+06
2020-06-05 05:45:00,81aHJ1q11NBPMrL,0,0,0,1.21541e+09
2020-05-18 04:15:00,mqwcsP2rE7J0TFp,0,0,0,5.93604e+08
2020-05-26 23:15:00,81aHJ1q11NBPMrL,0,0,0,0
2020-06-04 13:45:00,mqwcsP2rE7J0TFp,30.96,30.3533,4170.2,5.93734e+08
2020-05-17 15:45:00,oZZkBaNadn6DNKz,417.687,410.34,6241.87,1.7081e+09
2020-06-05 09:30:00,IQ2d7wF4YD8zU1Q,1032.83,1008.39,1397.33,2.0104e+07
2020-06-05 01:15:00,Qf4GUc1pJu5T6c6,0,0,6904,8.38575e+08
2020-05-27 03:00:00,LYwnQax7tkwH5Cb,0,0,0,1.79502e+09
2020-06-02 00:45:00,Qf4GUc1pJu5T6c6,0,0,0,8.38554e+08
2020-06-16 11:00:00,mqwcsP2rE7J0TFp,663.06,649.46,2064.6,5.93807e+08
2020-05-21 18:15:00,Quc1TzYxW2pYoWX,30.3467,29.3133,4890.93,3.29536e+08
2020-05-21 02:30:00,Et9kgGMDl729KT4,0,0,0,1.72889e+06
2020-05-17 10:00:00,IQ2d7wF4YD8zU1Q,972.979,951.429,1817.07,1.99609e+07
2020-05-23 08:00:00,LYwnQax7tkwH5Cb,535.373,524.773,459,1.795e+09
2020-05-20 10:30:00,V94E5Ben1TlhnDV,1198.7,1168.92,2459.4,1.41212e+09
2020-05-31 22:45:00,oZ35aAeoifZaQzV,0,0,6678,1.6601e+09
2020-06-07 14:30:00,q49J1IKaHRwDQnt,0,0,1836,470301
2020-06-10 07:30:00,IQ2d7wF4YD8zU1Q,174.129,170.521,109.5,2.01441e+07
2020-06-09 23:45:00,oZ35aAeoifZaQzV,0,0,8094,1.66016e+09
2020-05-17 07:30:00,oZZkBaNadn6DNKz,190.407,186.453,89.7333,1.7081e+09
2020-06-15 08:15:00,oZ35aAeoifZaQzV,599.76,587.767,526.733,1.66018e+09
2020-06-11 16:15:00,oZZkBaNadn6DNKz,178.507,174.967,3709.6,1.70826e+09
2020-06-08 05:15:00,4UPUqMRk7TRMgml,0,0,7826,2.60136e+06
2020-05-18 20:45:00,4UPUqMRk7TRMgml,0,0,7641,2.45287e+06
2020-05-17 10:45:00,xoJJ8DcxJEcupym,879.693,860.407,2268.6,2.09152e+08
2020-06-13 02:00:00,xoJJ8DcxJEcupym,0,0,4788,2.09306e+08
2020-05-24 20:30:00,xoJJ8DcxJEcupym,0,0,9081,2.09196e+08
2020-05-22 15:45:00,q49J1IKaHRwDQnt,749.533,733.86,8436.73,382608
2020-05-23 03:15:00,Quc1TzYxW2pYoWX,0,0,3687,3.29539e+08
2020-05-18 10:45:00,xoJJ8DcxJEcupym,630.52,617.64,966.6,2.09157e+08
2020-06-11 23:00:00,vOuJvMaM2sgwLmb,0,0,3914,2.39294e+06
2020-06-14 18:00:00,9kRcWv60rDACzjR,102.65,99.7429,7426.64,2.2479e+09
2020-06-05 03:30:00,xMbIugepa2P7lBB,0,0,6899,1.06815e+08
2020-05-22 11:00:00,rrq4fwE8jgrTyWY,1184.38,1154.77,3180.13,1.21005e+08
2020-05-18 18:45:00,4UPUqMRk7TRMgml,0,0,7641,2.45287e+06
2020-06-14 12:00:00,oZZkBaNadn6DNKz,0,0,1781,1.70827e+09
2020-06-04 08:30:00,PeE6FRyGXUgsRhN,525.421,515.086,569.286,1.34847e+09
2020-06-15 00:00:00,NgDl19wMapZy17u,0,0,6277,1.1173e+08
2020-06-03 01:15:00,LlT2YUhhzqhg5Sw,0,0,0,2.8272e+08
2020-06-07 02:45:00,xoJJ8DcxJEcupym,0,0,2354,2.09269e+08
2020-06-17 05:00:00,xoJJ8DcxJEcupym,0,0,0,2.09331e+08
2020-06-01 19:45:00,Quc1TzYxW2pYoWX,0,0,3649,3.29588e+08
2020-05-25 23:15:00,V94E5Ben1TlhnDV,0,0,9011,1.41217e+09
2020-05-19 10:00:00,LYwnQax7tkwH5Cb,384.414,377.714,1247,1.79498e+09
2020-06-10 20:00:00,Qf4GUc1pJu5T6c6,0,0,5556,8.38621e+08
2020-05-16 10:30:00,q49J1IKaHRwDQnt,0,0,1816,350835
2020-06-11 06:15:00,vOuJvMaM2sgwLmb,13.9733,13.48,1.4,2.38903e+06
2020-06-10 15:00:00,LlT2YUhhzqhg5Sw,306.647,300.887,4802.73,2.82754e+08
2020-06-04 17:15:00,9kRcWv60rDACzjR,199.38,195.433,2782.93,2.24786e+09
2020-05-30 22:30:00,Mx2yZCDsyf6DPfv,0,0,8199,2.57894e+06
2020-05-22 13:30:00,xoJJ8DcxJEcupym,0,0,2091,2.09175e+08
2020-05-16 05:15:00,LlT2YUhhzqhg5Sw,0,0,0,2.82602e+08
2020-06-07 15:15:00,xoJJ8DcxJEcupym,37.0933,36.3533,1373.53,4.18552e+07
2020-06-08 21:00:00,LYwnQax7tkwH5Cb,0,0,2702,1.79507e+09
2020-06-14 06:45:00,oZZkBaNadn6DNKz,169.221,165.493,55,1.70827e+09
2020-06-02 23:30:00,Qf4GUc1pJu5T6c6,0,0,7298,8.38562e+08
2020-06-17 03:15:00,q49J1IKaHRwDQnt,0,0,0,516601
2020-05-18 05:30:00,LlT2YUhhzqhg5Sw,0,0,0,2.82616e+08
2020-06-01 22:15:00,xoJJ8DcxJEcupym,0,0,4208,2.09244e+08
2020-05-28 21:30:00,Qf4GUc1pJu5T6c6,0,0,3968,8.38527e+08
2020-05-29 23:15:00,Qf4GUc1pJu5T6c6,0,0,8165,8.38535e+08
2020-05-31 13:15:00,Mx2yZCDsyf6DPfv,1282.13,1250.08,4449,2.58339e+06
2020-05-23 03:30:00,9kRcWv60rDACzjR,0,0,0,2.24777e+09
2020-05-30 06:15:00,9kRcWv60rDACzjR,20.8333,20.1267,4.33333,2.24782e+09
2020-05-15 20:15:00,PeE6FRyGXUgsRhN,0,0,9119,1.34836e+09
2020-05-31 08:15:00,9kRcWv60rDACzjR,439.086,431.014,327.643,2.24783e+09
2020-06-05 00:15:00,IQ2d7wF4YD8zU1Q,0,0,7020,2.01026e+07
2020-06-07 19:30:00,LlT2YUhhzqhg5Sw,0,0,7771,2.82743e+08
2020-05-26 19:00:00,xoJJ8DcxJEcupym,0,0,6233,2.09211e+08
2020-05-22 06:15:00,Qf4GUc1pJu5T6c6,53.0071,51.2929,10.5,8.38471e+08
2020-05-27 10:00:00,oZ35aAeoifZaQzV,1084.51,1059.95,2033.53,1.66006e+09
2020-06-08 05:45:00,IQ2d7wF4YD8zU1Q,0,0,7884,2.01265e+07
2020-06-05 21:45:00,vOuJvMaM2sgwLmb,0,0,3421,2.35653e+06
2020-06-08 03:15:00,PeE6FRyGXUgsRhN,0,0,7544,1.3485e+09
2020-05-15 07:45:00,Mx2yZCDsyf6DPfv,562.129,550.921,418.786,2.45406e+06
2020-06-16 02:45:00,PeE6FRyGXUgsRhN,0,0,2801,1.34854e+09
2020-06-16 23:45:00,LlT2YUhhzqhg5Sw,0,0,5357,2.82785e+08
2020-06-02 04:00:00,rrq4fwE8jgrTyWY,0,0,0,1.21065e+08
2020-06-11 20:30:00,Et9kgGMDl729KT4,0,0,3299,1.83162e+06
2020-06-01 17:30:00,WcxssY2VbP4hApt,9.95,9.59167,4296.17,1.81834e+08
2020-06-07 22:45:00,Mx2yZCDsyf6DPfv,0,0,7818,2.63293e+06
2020-06-13 04:00:00,Mx2yZCDsyf6DPfv,0,0,4576,2.66424e+06
2020-06-04 15:45:00,V94E5Ben1TlhnDV,398.479,391.486,3055.86,1.41223e+09
2020-05-29 18:30:00,LlT2YUhhzqhg5Sw,15.4133,14.88,7232.4,2.82698e+08
2020-06-02 07:15:00,Quc1TzYxW2pYoWX,255.513,250.587,164.667,3.29588e+08
2020-06-08 17:30:00,Mx2yZCDsyf6DPfv,266.26,261.14,9019.6,2.64195e+06
2020-05-18 12:30:00,q49J1IKaHRwDQnt,718.353,700.707,3120.73,361400
2020-05-24 01:30:00,9kRcWv60rDACzjR,0,0,0,2.24778e+09
2020-06-12 02:30:00,mqwcsP2rE7J0TFp,0,0,0,5.93782e+08
2020-06-13 08:00:00,IQ2d7wF4YD8zU1Q,379.553,372.907,303.067,2.01587e+07
2020-05-22 07:15:00,oZ35aAeoifZaQzV,289.467,284.193,168.4,1.66002e+09
2020-06-02 08:30:00,Quc1TzYxW2pYoWX,441.927,433.867,613.867,3.29589e+08
2020-05-27 12:00:00,81aHJ1q11NBPMrL,0,0,0,0
2020-05-31 05:45:00,rrq4fwE8jgrTyWY,0,0,0,1.21055e+08
2020-06-05 05:00:00,oZZkBaNadn6DNKz,0,0,0,1.70822e+09
2020-05-15 03:00:00,oZZkBaNadn6DNKz,0,0,0,1.70808e+09
2020-06-02 15:30:00,V94E5Ben1TlhnDV,917.56,897.32,5342.33,1.41222e+09
2020-06-10 01:30:00,NgDl19wMapZy17u,0,0,8067,1.11708e+08
2020-06-05 17:15:00,NgDl19wMapZy17u,290.487,285.227,7470.33,1.11675e+08
2020-05-26 23:30:00,PeE6FRyGXUgsRhN,0,0,6704,1.34843e+09
2020-06-10 21:30:00,vOuJvMaM2sgwLmb,0,0,5480,2.38903e+06
2020-05-29 06:45:00,4UPUqMRk7TRMgml,130.136,126.621,62.1429,2.52962e+06
2020-05-22 19:15:00,LlT2YUhhzqhg5Sw,0,0,5052,2.82642e+08
2020-05-28 18:00:00,oZZkBaNadn6DNKz,95.9533,93.2,9018.27,1.70818e+09
2020-06-03 11:00:00,LlT2YUhhzqhg5Sw,62.2,60.84,1003.2,2.26177e+08
2020-05-21 23:15:00,oZZkBaNadn6DNKz,0,0,4934,1.70812e+09
2020-05-18 22:45:00,oZZkBaNadn6DNKz,0,0,6786,1.70811e+09
2020-05-17 10:30:00,xMbIugepa2P7lBB,908.88,889.073,2188.13,1.06676e+08
2020-06-08 09:30:00,Mx2yZCDsyf6DPfv,936.015,915.1,1433.38,2.63436e+06
2020-05-31 17:45:00,vOuJvMaM2sgwLmb,73.68,71.48,6490.6,2.33318e+06
2020-06-01 12:45:00,Mx2yZCDsyf6DPfv,809.829,792.514,3772.71,2.58936e+06
2020-06-03 03:00:00,Qf4GUc1pJu5T6c6,0,0,0,8.38562e+08
2020-06-08 17:30:00,LlT2YUhhzqhg5Sw,251.387,246.507,2692.27,2.82745e+08
